dialog_id,utterance_id,speaker,text
0,0,agent,Hi hi! Shokudo on the line - Riley speaking!
0,1,customer,"Hi - I want to order, but I have a couple questions."
0,2,customer,I'll take one white profiteroles.
0,3,agent,Got it.
0,4,agent,Anything else for you?
0,5,customer,I'll take one tuna cucumber roll.
0,6,agent,Adding that now.
0,7,agent,Any other items?
0,8,customer,"Actually, hang on."
0,9,customer,I'll take one shrimp tempura appetizer.
0,10,agent,Okay - adding it.
0,11,agent,Anything more today?
0,12,customer,I'll take one mango tango roll.
0,13,agent,You got it.
0,14,customer,"Yep, that's it."
0,15,agent,Is that for pickup or delivery?
0,16,customer,"Pickup, please."
0,17,agent,"Great choice - Hi - I want to order, but I have a couple questions.; I'll take one white profiteroles.; I'll take one tuna cucumber roll.. We'll have it ready!"
0,18,customer,"Great, thanks."
1,0,agent,Thank you for calling Shokudo.
1,1,customer,"Hi... I'm still deciding, but can I start an order?"
1,2,customer,I'll take one hackettstown roll.
1,3,agent,Adding that now.
1,4,customer,I'll take one new jersey roll.
1,5,agent,Want to add anything else?
1,6,customer,"Uh, let me think."
1,7,customer,I'll take one turtle wagy tamaki for two.
1,8,agent,Anything else for you?
1,9,customer,My bad -
1,10,customer,I'll take one n j fifty seven roll.
1,11,agent,"Okay, no problem."
1,12,customer,I'll take one seaweed salad.
1,13,agent,You got it.
1,14,agent,Anything more today?
1,15,customer,I'll take one kani salad.
1,16,agent,Got it.
1,17,customer,That should do it.
1,18,agent,Will this be pickup or delivery?
1,19,customer,Can you do delivery?
1,20,agent,Awesome - I'll take one hackettstown roll.; I'll take one new jersey roll.; I'll take one turtle wagy tamaki for two.. We'll have that ready. Thank you!
1,21,customer,"Great, thanks."
2,0,agent,Thank you for calling Shokudo.
2,1,customer,"Hi there, I'd like to order if you're taking orders."
2,2,customer,"Uh, let me think."
2,3,customer,I'll take one yellowtail jalapeno appetizer.
2,4,agent,Perfect.
2,5,agent,Any other items?
2,6,customer,I'll take one shrimp tempura appetizer.
2,7,agent,Sounds good.
2,8,agent,What else can I get you?
2,9,customer,I'll take one pink lady roll.
2,10,agent,Adding that now.
2,11,customer,I'll take one twelve pieces sashimi.
2,12,agent,"Okay, no problem."
2,13,agent,Soup or salad with that?
2,14,customer,Miso soup.
2,15,agent,Anything more today?
2,16,customer,I'll take one yummy roll.
2,17,agent,Sure thing.
2,18,customer,That should do it.
2,19,agent,Will this be pickup or delivery?
2,20,customer,Can you do delivery?
2,21,agent,We'll get started on that.
2,22,customer,Thank you.
