dialog_id,speaker,utterance_id,text
0,agent,0,"Hi, thanks for calling."
0,customer,1,I’m calling in an order.
0,customer,2,I’ll take one lasagna.
0,agent,3,Gotcha.
0,agent,4,Next item?
0,customer,5,One second.
0,customer,6,I’ll take one penne vodka.
0,agent,7,Sure.
0,agent,8,Go ahead.
0,customer,9,I’ll take one spaghetti and meatballs.
0,agent,10,Sure.
0,agent,11,Keep going.
0,customer,12,One second.
0,customer,13,I’ll take one garlic knots.
0,agent,14,Added.
0,agent,15,Keep going.
0,customer,16,One second.
0,customer,17,I’ll take one chicken parmesan.
0,agent,18,Sounds good.
0,customer,19,That’s everything.
0,agent,20,Pickup or delivery?
0,customer,21,Pickup.
0,agent,22,You’re all set.
0,customer,23,Thank you.
1,agent,0,Thank you for calling.
1,customer,1,"Hey, can I order some food?"
1,customer,2,"Actually, hang on."
1,customer,3,I’ll take one smoked salmon.
1,agent,4,Sure.
1,agent,5,Next item?
1,customer,6,I’ll take one california roll.
1,agent,7,Sure.
1,agent,8,What else can I get you?
1,customer,9,I’ll take one tuna avocado roll.
1,agent,10,All right.
1,customer,11,That should do it.
1,agent,12,Pickup or delivery?
1,customer,13,Pickup.
1,agent,14,That’ll be ready shortly.
1,customer,15,Thank you.
2,agent,0,"Good evening, how can I help you?"
2,customer,1,I’m calling in an order.
2,customer,2,Sorry—
2,customer,3,I’ll take one meat lovers pizza.
2,agent,4,Okay.
2,agent,5,Keep going.
2,customer,6,Sorry—
2,customer,7,I’ll take one garlic bread.
2,agent,8,Okay.
2,agent,9,Go ahead.
2,customer,10,"Actually, hang on."
2,customer,11,I’ll take one calzone.
2,agent,12,Okay.
2,agent,13,Go ahead.
2,customer,14,"Actually, hang on."
2,customer,15,I’ll take one pepperoni pizza.
2,agent,16,Okay.
2,customer,17,"Yep, that’s it."
2,agent,18,Pickup or delivery?
2,customer,19,Delivery.
2,agent,20,You’re all set.
2,customer,21,Thank you.
3,agent,0,"Good evening, how can I help you?"
3,customer,1,"Hey, can I order some food?"
3,customer,2,I’ll take one large cheese pizza.
3,agent,3,Okay.
3,agent,4,What else can I get you?
3,customer,5,"Uh, let me think."
3,customer,6,I’ll take one buffalo chicken pizza.
3,agent,7,Gotcha.
3,agent,8,Anything else?
3,customer,9,I’ll take one margherita pizza.
3,agent,10,No problem.
3,customer,11,"Yep, that’s it."
3,agent,12,Pickup or delivery?
3,customer,13,Pickup.
3,agent,14,"Thanks, we’ll take care of it."
3,customer,15,Thank you.
4,agent,0,"Good evening, how can I help you?"
4,customer,1,I’m calling in an order.
4,customer,2,One second.
